Test ID,Section,Tier / Login,Description,Steps,Expected Result,Priority,Status,Tested By,Date,Browser,Bug Ref,Notes
CRM-02,CRM,Practice,Drag lead between columns,Drag a lead from new to contacted,Status updated; persists on reload,P0,,,,,,
CRM-03,CRM,Practice,Convert lead to patient,Open lead > Convert,Patient created from lead data; lead status -> converted; linked,P1,,,,,,
CRM-04,CRM,Practice,Source-wise report,Open CRM analytics,Chart shows distribution: website / google_ads / instagram etc.,P2,,,,,,
STAFF-01,Staff,Practice nehakapoor@wellness.test,Clock in,/staff/attendance > Clock in,Time recorded; status=present,P1,,,,,,
STAFF-02,Staff,Practice,Clock out,Clock out same day,Clock_out time recorded; second clock-in blocked,P1,,,,,,
STAFF-03,Staff,Practice,Request leave,/staff/leaves > Request,Pending status; visible to owner,P1,,,,,,
STAFF-04,Staff,Practice owner,Approve leave,Open leave request > Approve,Status -> approved; reflected in attendance and scheduling,P1,,,,,,
STAFF-05,Staff,Practice owner,Reject leave,Reject another request,Status -> rejected; reason captured,P2,,,,,,
SCH-01,Scheduling,Practice owner,Per-doctor schedule blocks,/scheduling,Shows seeded weekly schedules; can edit,P1,,,,,,
SCH-02,Scheduling,Practice,Waiting list,Add patient to waiting list for full slot,Entry created; notified flag false,P2,,,,,,
SCH-03,Scheduling,Practice owner,Google Calendar stub,Enable for a doctor,Stub call recorded; no real API hit without keys,P2,,,,,,
ANL-01,Analytics,Practice owner@wellness.test,Revenue chart,/analytics,4 months of revenue line chart,P1,,,,,,
ANL-02,Analytics,Practice,Expense chart,Same page,Monthly expenses bar chart,P1,,,,,,
ANL-03,Analytics,Practice,P&L statement,P&L tab,Revenue - expenses computed correctly,P1,,,,,,
ANL-04,Analytics,Practice,Doctor performance,Doctor tab,Each doctor revenue / visit count ranked,P1,,,,,,
ANL-05,Analytics,Practice,Add expense,/analytics > Add Expense > rent 30000,Row created; reflected in next refresh of P&L,P2,,,,,,
ANL-06,Analytics,Free sunrise,Analytics hidden,Login as sunrise,Analytics menu hidden,P1,,,,,,
PORT-01,Portal,Enterprise (patient OTP),Patient portal login,Visit /portal/login > enter seeded phone,OTP appears in storage/logs/mail.log; entering OTP logs in,P0,,,,,,
PORT-02,Portal,Enterprise patient,Portal dashboard,/portal/dashboard after login,Shows past visits and downloadable Rx/lab/invoice,P0,,,,,,
PORT-03,Portal,Enterprise patient,Download signed URL,Click invoice PDF download,Downloads via signed URL valid 72h,P1,,,,,,
PORT-04,Portal,Enterprise patient,Book online,Click Book Appointment in portal,Creates appointment; Google Meet link stub generated,P1,,,,,,
PORT-05,Portal,Enterprise,Diet plan PDF,Patient with seeded diet plan,Download diet PDF works,P2,,,,,,
PORT-06,Portal,Enterprise,Photos timeline,Patient with photos,Before/after gallery with lightbox,P2,,,,,,
PORT-07,Portal,Any,Portal not available on Free/Clinic,Login as free/clinic patient,No portal access; or portal feature hidden,P2,,,,,,
ADMIN-01,Super Admin,admin@manageclinic.com,Super admin login,/admin/login,Lands on /admin/dashboard,P0,,,,,,
ADMIN-02,Super Admin,Super admin,MRR/ARR chart,/admin/dashboard,Chart.js renders revenue figures,P1,,,,,,
ADMIN-03,Super Admin,Super admin,Clinic list,/admin/clinics,Lists all 4 demo clinics + counts,P0,,,,,,
ADMIN-04,Super Admin,Super admin,Impersonate clinic,Click Impersonate on wellness,Logged in as that clinic with banner; 30-min token,P1,,,,,,
ADMIN-05,Super Admin,Super admin,End impersonation,Click Exit Impersonation in banner,Returns to super admin context,P1,,,,,,
ADMIN-06,Super Admin,Super admin,Audit log of impersonation,View audit log,Impersonation entry exists with admin id + clinic id + timestamp,P2,,,,,,
ADMIN-07,Super Admin,Super admin,Disable clinic,Set is_active=0 from admin UI,Clinic users cannot login; queries return 404,P1,,,,,,
ADMIN-08,Super Admin,Super admin,Cannot login at /login,Try admin@manageclinic.com at /login,Blocked; only /admin/login works,P0,,,,,,
ADMIN-09,Super Admin,Super admin,Different JWT secret,Inspect cookies after admin login,Admin token is signed with SUPERADMIN_JWT_SECRET (not tenant JWT),P0,,,,,,
DIR-01,Directory,Any (public),Public doctor directory,/doctors,Lists verified doctors; no login required,P1,,,,,,
DIR-02,Directory,Any (public),Filter by specialty,/doctors?specialty=cardiology,Returns matching doctors only,P2,,,,,,
DIR-03,Directory,Any (public),Doctor detail page,Click a doctor,Shows bio/locations/reviews; SEO meta tags present,P2,,,,,,
NOTIF-01,Notifications,Practice,Notification queued on booking,Book appointment,Row created in notifications table with status=queued,P1,,,,,,
NOTIF-02,Notifications,Practice,Worker processes queue,Run php workers/notification_worker.php,Queued rows -> sent (or failed if no Mailgun/Twilio),P1,,,,,,
NOTIF-03,Notifications,Practice,Daily reminder cron,Run notification_worker.php --daily,Sends tomorrow's appointment reminders,P2,,,,,,
NOTIF-04,Notifications,Free sunrise,WhatsApp disabled,Book appointment as sunrise,No WhatsApp notification queued (only email/log),P1,,,,,,
CONS-01,Consent,Clinic dranitasharma@carepoint.test,Sign consent form,Visit > Consent > Sign,Canvas signature captured; SHA-256 content hash stored,P1,,,,,,
CONS-02,Consent,Clinic,Consent PDF download,Download signed consent,PDF includes signature + hash + timestamp,P2,,,,,,
DISC-01,Discharge,Clinic,Draft discharge summary,Visit > Discharge > Draft,Saved as draft,P1,,,,,,
DISC-02,Discharge,Clinic,Finalize discharge,Click Finalize,Status -> finalized; PDF + share token generated,P1,,,,,,
DISC-03,Discharge,Any (public),Discharge share link,/portal/discharge/{token},Renders without login until expiry,P2,,,,,,
PHOTO-01,Photos,Enterprise metrohealth,Upload patient photo,Patient > Photos > Upload,File saved; appears in timeline,P2,,,,,,
PHOTO-02,Photos,Enterprise,Before/after gallery,View patient photos,Lightbox slider works,P2,,,,,,
PHOTO-03,Photos,Enterprise,Make photo public,Toggle is_public,Appears in public webhook output,P2,,,,,,
TEAM-01,Team,Practice owner,Invite team member,/settings?tab=team > Invite,Email sent with /accept-invite/{token},P1,,,,,,
TEAM-02,Team,Practice,Accept invite,Open invite link,Onboards new user; password set; logged in,P1,,,,,,
TEAM-03,Team,Practice,Seat limit enforced,Try invite past plan seat limit,Blocked with upgrade prompt,P1,,,,,,
TEAM-04,Team,Practice,Revoke pending invite,Revoke from list,Token invalidated; opening link fails,P2,,,,,,
SEC-01,Security,Practice doctor,Cross-tenant data isolation,Login as wellness doctor; try /patients/{metrohealth_patient_id},Returns 404 (not 403; do not leak existence),P0,,,,,,
SEC-02,Security,Practice doctor,Cross-tenant invoice access,Try invoice from another clinic by ID,Returns 404,P0,,,,,,
SEC-03,Security,Any,SQL injection in search,Search patients with ' OR 1=1 -- ,Treated as literal; no error; results limited to current tenant,P0,,,,,,
SEC-04,Security,Any,XSS in patient name,Create patient with <script>alert(1)</script>,Stored escaped; rendered as text not executed,P0,,,,,,
SEC-05,Security,Any,CSRF on POST,Submit form with tampered/missing CSRF token,Rejected with 419/403,P0,,,,,,
SEC-06,Security,Any,Direct access to /vendor or /.env,Visit /vendor/autoload.php or /.env,403/404 (NOT a file download),P0,,,,,,
SEC-07,Security,Any,Cookies have HttpOnly + Secure,Inspect cookies in DevTools,JWT cookie flags: HttpOnly=true; Secure=true; SameSite=Lax or Strict,P0,,,,,,
SEC-08,Security,Any,Brute force lockout,10 wrong passwords from same IP,Throttled / temporary block; logged,P1,,,,,,
SEC-09,Security,Any,Rate limit on signed download,Hit signed URL 1000 times rapidly,Rate-limited; older requests still valid,P2,,,,,,
SEC-10,Security,Patient portal,Expired OTP,Use OTP after expiry,Rejected,P1,,,,,,
SEC-11,Security,Patient portal,Replay OTP,Use same OTP twice,Second use rejected (used_at set),P1,,,,,,
SEC-12,Security,Any,File upload type check,Upload .exe as patient document,Rejected by MIME/extension whitelist,P1,,,,,,
SEC-13,Security,Any,File upload size check,Upload 100 MB file,Rejected; clean error,P2,,,,,,
SEC-14,Security,Super admin,GDPR export,POST /patients/{id}/gdpr/export,Returns patient data archive,P2,,,,,,
SEC-15,Security,Super admin,GDPR anonymize,POST /patients/{id}/gdpr/anonymize,PII fields scrubbed; visits preserved,P2,,,,,,
PERF-01,Performance,Practice,Dashboard < 1s on first load,Visit /dashboard cold cache,DOMContentLoaded < 1s (or < 2s on shared hosting),P2,,,,,,
PERF-02,Performance,Practice,Patient search < 300ms,Search a name on /patients,Server response < 300ms p95,P2,,,,,,
PERF-03,Performance,Practice,Pagination on large list,Browse /patients page 5,No timeout; correct rows,P2,,,,,,
CRON-01,Cron,Server-side,Backup cron runs,Trigger workers/backup.sh manually,storage/backups/manageclinic_*.sql.gz created,P1,,,,,,
CRON-02,Cron,Server-side,Notification cron runs,Trigger workers/notification_worker.php,Queued rows processed; no errors,P1,,,,,,
CRON-03,Cron,Server-side,Analytics snapshot,Trigger workers/analytics_snapshot.php,Rows added to analytics_snapshots; idempotent on rerun,P1,,,,,,
CRON-04,Cron,Server-side,Pharmacy alerts,Trigger workers/pharmacy_alerts.php,Alerts written/queued for low stock + expiring batches,P2,,,,,,
CRON-05,Cron,Server-side,Doctor incentives monthly,Trigger workers/doctor_incentives.php,Incentive rows created for last month; net_payable correct,P2,,,,,,
CRON-06,Cron,Server-side,Churn risk,Trigger workers/churn_risk.php,Inactive clinics get churn_risk_level updated; outreach queued,P2,,,,,,
RESP-01,Responsive,Any,Mobile login,Open /login on phone width,Form responsive; no horizontal scroll,P2,,,,,,
RESP-02,Responsive,Practice,Mobile dashboard,Open /dashboard on phone,Sidebar collapses to hamburger; tiles stack,P2,,,,,,
RESP-03,Responsive,Practice doctor,Mobile EMR,Try EMR screen on tablet,Usable; fields accessible,P2,,,,,,
A11Y-01,Accessibility,Any,Keyboard nav login,Tab through login form,Focus visible; submit via Enter works,P2,,,,,,
A11Y-02,Accessibility,Practice,Labels on inputs,Inspect patient form,Every input has associated label or aria-label,P2,,,,,,
A11Y-03,Accessibility,Any,Contrast ratio,Sample primary brand color buttons,Contrast >= 4.5:1 on text,P2,,,,,,
I18N-01,Locale,Practice,INR currency formatted,View an invoice,Shows Rs / INR with Indian grouping (e.g. 1,23,456),P2,,,,,,
I18N-02,Locale,Practice,Asia/Kolkata timezone,Check appointment time,Matches server-stored time in IST,P1,,,,,,
